composite_rank,setup,tf,entry,style,sessions,strong,pd,n,win_rate,avg_r,std_r,total_r,pf,max_dd,calmar,sharpe,adj_sharpe,composite_score
54,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,2383,49.2,-0.2317,2.9432,-552.06,0.646,589.26,-0.937,-0.079,-3.843,55.60000000000001
55,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,210,47.6,-0.7516,7.4429,-157.83,0.319,159.78,-0.988,-0.101,-1.463,56.00000000000001
56,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4083,54.1,-0.1268,1.6005,-517.58,0.778,545.13,-0.949,-0.079,-5.062,56.8
57,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1302,47.5,-0.2169,3.0429,-282.4,0.467,284.68,-0.992,-0.071,-2.572,56.800000000000004
58,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1065,45.2,-0.246,3.338,-261.95,0.389,264.0,-0.992,-0.074,-2.405,57.0
59,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_ON,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_ON,254,46.1,-0.2515,0.9807,-63.89,0.575,67.73,-0.943,-0.256,-4.087,57.400000000000006
60,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,756,41.7,-0.317,3.9416,-239.67,0.309,240.09,-0.998,-0.08,-2.211,60.400000000000006
61,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_ON,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_ON,359,44.6,-0.2882,1.0626,-103.47,0.543,108.09,-0.957,-0.271,-5.139,60.60000000000001
62,H4-M5|OB_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,6492,51.6,-0.1281,1.31,-831.79,0.723,839.72,-0.991,-0.098,-7.879,62.2
63,H4-M5|OB_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,OB_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3611,49.7,-0.1443,1.3594,-521.24,0.672,523.12,-0.996,-0.106,-6.379,62.400000000000006
64,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,906,43.9,-0.2878,3.6192,-260.74,0.372,260.87,-1.0,-0.08,-2.394,63.0
65,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4713,48.4,-0.2154,2.2722,-1015.2,0.658,1018.81,-0.996,-0.095,-6.508,63.400000000000006
66,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_ON,PD_OFF,1355,43.8,-0.1825,0.683,-247.35,0.488,249.98,-0.989,-0.267,-9.836,64.0
67,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_ON|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_ON,PD_OFF,950,40.2,-0.1916,0.6379,-182.03,0.457,182.64,-0.997,-0.3,-9.258,66.2
68,H4-M15|OB+FVG|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3896,44.3,-0.2524,2.2927,-983.18,0.496,984.97,-0.998,-0.11,-6.872,66.80000000000001
69,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,4141,40.5,-0.4875,7.3939,-2018.83,0.402,2021.34,-0.999,-0.066,-4.243,68.2
70,H4-M5|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,7127,41.4,-0.3693,5.6484,-2631.65,0.395,2634.57,-0.999,-0.065,-5.52,68.60000000000001
71,H4-M15|OB+FVG|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,OB+FVG,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,6868,46.0,-0.2266,1.8787,-1555.98,0.558,1559.09,-0.998,-0.121,-9.996,68.80000000000001
72,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_ON,3155,42.1,-0.3565,2.381,-1124.64,0.492,1127.05,-0.998,-0.15,-8.41,70.0
73,H4-M15|FVG_only|Risk(no_MSS)|All_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),All_Sessions,Strong_OFF,PD_OFF,5760,43.5,-0.2676,1.7985,-1541.34,0.48,1544.39,-0.998,-0.149,-11.292,70.20000000000002
74,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,3351,41.8,-0.2934,2.0525,-983.33,0.407,984.05,-0.999,-0.143,-8.275,70.4
75,H4-M15|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M15,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1484,41.2,-0.4351,3.0285,-645.71,0.422,645.85,-1.0,-0.144,-5.535,71.0
76,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_ON,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_ON,1957,39.8,-0.4279,2.533,-837.32,0.416,837.13,-1.0,-0.169,-7.473,72.4
77,H4-M5|FVG_only|Risk(no_MSS)|GO_Sessions|Strong_OFF|PD_OFF,H4-M5,FVG_only,Risk(no_MSS),GO_Sessions,Strong_OFF,PD_OFF,4063,39.2,-0.3251,1.7989,-1320.93,0.38,1321.12,-1.0,-0.181,-11.519,74.8
