side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
long,2023-09-20 22:00:00+00:00,1930.325,1928.7083609102963,1935.1749172691113,2023-09-21 00:15:00+00:00,1928.7083609102963,stop,-1.0,1.8139548646133348,1929.675,1695142800000000000,1,0.21074446696268873,-1.2107444669626888
long,2023-09-21 06:00:00+00:00,1929.045,1927.258678849499,1934.4039634515036,2023-09-21 07:00:00+00:00,1927.258678849499,stop,-1.0,1.2110943339116547,1928.395,1695171600000000000,1,0.17385155889155304,-1.173851558891553
long,2023-12-04 18:00:00+00:00,2024.085,2020.3220951012302,2035.3737146963097,2023-12-05 00:15:00+00:00,2035.3737146963097,target,3.0,3.212313205682032,2022.008,1701709200000000000,1,0.06643803304243141,2.9335619669575688
long,2023-12-08 13:00:00+00:00,2027.765,2025.9296598878616,2033.2710203364156,2023-12-08 13:30:00+00:00,2025.9296598878616,stop,-1.0,2.609722431146054,2026.755,1701982800000000000,1,0.20731096053579195,-1.207310960535792
long,2023-12-11 04:15:00+00:00,1996.435,1993.9514742362253,2003.885577291324,2023-12-11 07:45:00+00:00,1993.9514742362253,stop,-1.0,2.196155507408159,1994.555,1702054800000000000,1,0.144877810658805,-1.1448778106588051
long,2023-12-11 10:30:00+00:00,1992.255,1990.4956512961246,1997.5330461116266,2023-12-11 13:45:00+00:00,1990.4956512961246,stop,-1.0,2.3883683763792716,1991.215,1702270800000000000,1,0.2099745309188603,-1.2099745309188603
short,2024-01-31 13:15:00+00:00,2038.015,2040.3255365142854,2031.083390457144,2024-01-31 13:30:00+00:00,2040.3255365142854,stop,-1.0,1.7218987346935162,2038.528,1706648400000000000,-1,0.1454618590343433,-1.1454618590343433
short,2024-02-01 02:15:00+00:00,2046.415,2050.299331062893,2034.7620068113206,2024-02-01 10:30:00+00:00,2034.7620068113206,target,3.0,2.097379195348904,2048.448,1706619600000000000,-1,0.06436114634724135,2.9356388536527587
short,2024-02-01 15:15:00+00:00,2048.735,2051.5863141610957,2040.1810575167133,2024-02-01 15:45:00+00:00,2051.5863141610957,stop,-1.0,3.745613830359912,2049.475,1706749200000000000,-1,0.15336110537534414,-1.153361105375344
long,2024-02-13 23:45:00+00:00,1991.435,1990.2043944304742,1995.1268167085773,2024-02-14 01:15:00+00:00,1990.2043944304742,stop,-1.0,1.4795909107975425,1990.655,1707858000000000000,1,0.26326838880204706,-1.263268388802047
long,2024-02-14 09:15:00+00:00,1989.875,1987.8317613795577,1996.0047158613268,2024-02-14 14:45:00+00:00,1987.8317613795577,stop,-1.0,2.3233572803942306,1988.735,1707872400000000000,1,0.17920954525637128,-1.1792095452563713
short,2024-03-01 21:30:00+00:00,2083.348,2084.5850356759674,2079.6368929720975,2024-03-03 23:00:00+00:00,2084.5850356759674,stop,-1.0,2.3392913135799067,2083.898,1709326800000000000,-1,0.2966483285876059,-1.2966483285876058
short,2024-03-04 07:45:00+00:00,2087.335,2088.6233504660177,2083.469948601947,2024-03-04 08:45:00+00:00,2083.469948601947,target,3.0,1.5595284308561401,2088.195,1709528400000000000,-1,0.19404657862450075,2.805953421375499
short,2024-03-20 16:00:00+00:00,2157.035,2159.174288572155,2150.617134283534,2024-03-20 17:45:00+00:00,2159.174288572155,stop,-1.0,2.382640714335971,2158.355,1710867600000000000,-1,0.17254896815763127,-1.1725489681576313
