side,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,realized_r,atr_at_exit,level_price,level_time,h4_signal,cost_r,net_r
short,2023-05-04 02:00:00+00:00,2044.045,2047.8893294599993,2032.5120116200023,2023-05-04 07:30:00+00:00,2032.5120116200023,target,3.0,3.3495454353051763,2044.248,1681454700000000000,-1,0.06503084675787625,2.9349691532421236
short,2023-05-04 07:45:00+00:00,2034.475,2037.162944799835,2026.4111656004945,2023-05-04 09:30:00+00:00,2037.162944799835,stop,-1.0,2.9534433865673995,2035.944,1683139500000000000,-1,0.14794655357236616,-1.147946553572366
short,2023-05-04 10:45:00+00:00,2039.758,2041.3815129401044,2034.887461179687,2023-05-04 11:00:00+00:00,2041.3815129401044,stop,-1.0,2.876825766989361,2040.555,1683197100000000000,-1,0.24258586342044286,-1.2425858634204427
short,2023-05-04 18:00:00+00:00,2045.545,2048.609924249546,2036.350227251362,2023-05-04 18:30:00+00:00,2048.609924249546,stop,-1.0,4.057358812470929,2047.335,1681442100000000000,-1,0.1477582816901994,-1.1477582816901994
short,2023-05-04 20:45:00+00:00,2049.498,2051.7012207181224,2042.888337845633,2023-05-05 01:30:00+00:00,2051.7012207181224,stop,-1.0,1.830952687455349,2050.815,1683233100000000000,-1,0.15502197830812262,-1.1550219783081226
short,2023-07-31 09:00:00+00:00,1954.035,1955.8479136727615,1948.596258981716,2023-07-31 09:30:00+00:00,1955.8479136727615,stop,-1.0,1.7115307941610367,1954.095,1685096100000000000,-1,0.18510343032324744,-1.1851034303232475
short,2023-07-31 10:15:00+00:00,1957.095,1958.6697152866004,1952.3708541401988,2023-07-31 11:00:00+00:00,1958.6697152866004,stop,-1.0,1.5875454138254477,1957.138,1675302300000000000,-1,0.20916623690264358,-1.2091662369026435
short,2023-07-31 11:45:00+00:00,1958.955,1960.0549182515497,1955.6552452453507,2023-07-31 12:15:00+00:00,1960.0549182515497,stop,-1.0,1.807637491698966,1959.145,1686759300000000000,-1,0.30946106595227446,-1.3094610659522745
short,2023-07-31 12:45:00+00:00,1965.358,1967.6091123511692,1958.6046629464922,2023-07-31 13:30:00+00:00,1967.6091123511692,stop,-1.0,2.2469763551001254,1965.525,1690185600000000000,-1,0.16096434172501442,-1.1609643417250144
short,2023-07-31 14:30:00+00:00,1965.835,1969.4737251276395,1954.9188246170818,2023-07-31 15:15:00+00:00,1969.4737251276395,stop,-1.0,2.530202994927469,1965.848,1686574800000000000,-1,0.10347309470738454,-1.1034730947073845
short,2023-07-31 16:15:00+00:00,1971.168,1972.344278072195,1967.6391657834145,2023-07-31 18:30:00+00:00,1967.6391657834145,target,3.0,1.7324663182670863,1971.425,1680162300000000000,-1,0.21253477890092362,2.7874652210990765
short,2023-07-31 19:00:00+00:00,1966.385,1967.4424170527354,1963.2127488417937,2023-08-01 00:30:00+00:00,1963.2127488417937,target,3.0,1.1865152398192655,1966.694,1685575800000000000,-1,0.23642516389656462,2.7635748361034356
short,2023-08-01 00:45:00+00:00,1963.355,1964.0433149596638,1961.2900551210087,2023-08-01 01:45:00+00:00,1961.2900551210087,target,3.0,1.1730603188742148,1963.374,1690564500000000000,-1,0.3632058209545747,2.6367941790454252
short,2023-08-01 03:15:00+00:00,1960.875,1961.8965696404673,1957.810291078598,2023-08-01 03:45:00+00:00,1961.8965696404673,stop,-1.0,1.1883719258328593,1961.008,1686521700000000000,-1,0.3028854656938542,-1.3028854656938542
short,2023-08-01 04:15:00+00:00,1960.505,1961.513461513468,1957.4796154595965,2023-08-01 06:00:00+00:00,1957.4796154595965,target,3.0,1.346955652035243,1960.615,1689281100000000000,-1,0.24790237075117347,2.7520976292488264
short,2023-08-01 06:30:00+00:00,1957.375,1958.56305128346,1953.81084614962,2023-08-01 11:00:00+00:00,1953.81084614962,target,3.0,1.5381164253657347,1957.635,1684441800000000000,-1,0.21042862667671325,2.7895713733232865
short,2023-08-01 11:45:00+00:00,1953.505,1954.9822512886146,1949.0732461341565,2023-08-01 12:00:00+00:00,1954.9822512886146,stop,-1.0,1.8341111314262384,1953.938,1687215600000000000,-1,0.2313117336264357,-1.2313117336264356
short,2023-08-01 14:00:00+00:00,1947.395,1954.658661681935,1925.604014954195,2023-08-02 07:00:00+00:00,1948.595,timeout,-0.165205932289563,1.6303260409872045,1947.445,1685939400000000000,-1,0.03441790256032432,-0.19962383484988733
short,2023-09-01 11:00:00+00:00,1944.515,1945.5716684888903,1941.3449945333296,2023-09-01 11:30:00+00:00,1945.5716684888903,stop,-1.0,0.9517410650078797,1944.965,1685039400000000000,-1,0.2816276404371152,-1.2816276404371152
short,2023-09-01 12:30:00+00:00,1948.215,1953.3803489657253,1932.718953102824,2023-09-04 05:30:00+00:00,1945.1465,timeout,0.5940547328672042,0.867900051887586,1948.275,1685932200000000000,-1,0.04839944051386929,0.545655292353335
